,OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group
1253,2644,2021-03-30,2021-03-31,29.92917939,Human,40.4329,-110.00076,UTUBC,Unknown,US-UT,1.0,Group-1
1254,2645,2021-03-30,2021-03-30,0.25,Human,47.57047696992477,-93.74467363909773,MNMNCC,Grass,US-MN,0.0,Group-1
1255,2647,2021-03-28,2021-06-03,210.920843,Human,44.41351,-120.5002,ORCOC,Unknown,US-OR,67.0,Group-5
1256,2648,2021-02-21,2021-03-08,4.0,Human,33.35214,-110.446,AZPHC,Grass-Shrub,US-AZ,15.0,Group-2
1257,2650,2021-03-27,2021-03-27,0.005000309,Human,36.44352,-114.9783,NVLIC,Unknown,US-NV,0.0,Group-1
1258,2651,2021-03-28,2021-03-31,23.42475478,Human,36.44177,-114.9673,NVLIC,Grass-Shrub,US-NV,3.0,Group-1
1259,2652,2021-03-30,2021-03-31,1.3411429,Human,42.43559,-115.3486,IDSCC,Grass,US-ID,1.0,Group-1
1260,2653,2021-03-30,2021-04-08,1.244728015,Human,29.03744,-81.83486,FLFIC,Timber,US-FL,9.0,Group-1
1261,2656,2021-03-29,2021-03-30,23.0,Human,34.63427,-95.81587,ARAOC,Unknown,US-OK,1.0,Group-1
1262,2657,2021-03-30,2021-05-03,148.33,Human,32.06741,-104.4523,NMADC,Grass-Shrub,US-NM,34.0,Group-3
1263,2658,2021-03-12,2021-03-26,4.0,Human,47.570476969924755,-93.74467363909773,MNMNCC,Grass,US-MN,14.0,Group-1
1264,2659,2021-03-18,2021-03-26,1.0,Human,47.57047696992476,-93.7446736390977,MNMNCC,Grass,US-MN,8.0,Group-1
1265,2660,2021-03-23,2021-04-16,0.1,Human,34.51613,-95.86808,ARAOC,Unknown,US-OK,24.0,Group-2
1266,2661,2021-03-19,2021-03-26,0.75,Human,47.57047696992477,-93.74467363909771,MNMNCC,Grass-Shrub,US-MN,7.0,Group-1
1267,2662,2021-03-19,2021-03-26,1.2,Unknown,47.570476969924755,-93.74467363909771,MNMNCC,Grass,US-MN,7.0,Group-1
1268,2663,2020-08-04,2020-08-26,0.00910495,Natural,43.67484,-107.335,WYCDC,Grass-Shrub,US-WY,22.0,Group-2
1269,2664,2021-03-26,2021-03-30,1.0,Human,47.57047696992474,-93.74467363909773,MNMNCC,Grass-Shrub,US-MN,4.0,Group-1
1270,2665,2021-03-31,2021-04-08,4.0,Human,47.57047696992475,-93.7446736390977,MNMNCC,Grass,US-MN,8.0,Group-1
1271,2666,2021-03-31,2021-04-01,5.98,Undetermined,35.36661,-117.6194,CASBCC,Grass,US-CA,1.0,Group-1
1272,2667,2021-03-31,2021-04-08,5.26,Human,48.05656,-114.0189,MTKIC,Grass,US-MT,8.0,Group-1
