,humidity,windspeed,pressure,temp,conditions
20641,71.38,15.4,1018.6,59.8,5.0
4180,25.49,17.2,1014.5,72.2,1.0
19338,85.23,15.6,1018.8,75.7,2.0
13915,85.0,16.9,1014.1,40.9,2.0
20202,64.73,9.6,1012.7,82.8,3.0
16943,70.83,10.6,1019.4,75.8,1.0
10007,73.87,8.1,1021.0,37.8,2.0
9363,60.82,24.9,1014.9,31.4,4.0
758,94.59,17.3,1011.3,55.1,2.0
1868,64.13,17.1,1016.9,43.3,3.0
19316,58.12,4.7,1018.0,67.4,1.0
18460,46.65,16.1,1020.6,49.6,1.0
15776,90.56,18.9,1017.3,78.7,2.0
3761,46.89,17.0,1010.1,72.8,5.0
20883,64.42,24.7,1024.2,18.7,9.0
15535,35.31,19.8,1010.3,90.4,5.0
20924,74.11,12.9,1010.1,79.6,2.0
15658,75.44,10.3,1013.7,62.3,3.0
3187,69.59,7.0,1009.0,41.0,3.0
19830,85.6,20.4,1014.9,68.5,2.0
5525,77.46,8.5,1020.9,60.8,2.0
8259,72.9,11.4,1010.7,67.2,3.0
4220,74.06,5.4,1003.3,31.4,7.0
8304,76.86,20.1,1015.6,67.9,3.0
8265,51.34,22.0,1012.8,54.2,3.0
16154,74.51,15.8,1015.1283048687221,82.8,3.0
14808,69.95,8.9,1016.3,59.5,3.0
2456,57.74,4.6,1035.4,17.0,1.0
18618,84.95,15.8,1016.1,82.7,2.0
1122,53.27,27.1,1016.2,46.6,2.0
4850,58.54,19.8,1008.3,50.9,2.0
4076,17.74,14.0,1016.3,67.9,1.0
3881,75.27,9.9,1012.6,83.5,1.0
1927,62.61,8.1,1021.0,53.3,2.0
5944,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
3207,55.98,9.5,1021.8,32.3,3.0
15339,44.32,18.5,1013.5,78.3,3.0
3806,23.6,14.5,1009.3,76.6,3.0
4232,38.5,11.8,1025.8,32.0,1.0
6857,41.6,24.2,1018.8,63.2,1.0
12737,12.87,18.6,1006.3,77.3,1.0
21319,63.12,9.7,1016.9,60.8,1.0
15679,85.3,11.7,1003.9,75.5,2.0
9435,29.83,8.3,1015.1283048687221,42.6,1.0
3634,42.76,8.1,1026.4,42.2,1.0
14207,93.88,11.4,1007.2,36.3,2.0
13966,56.95,14.4,1018.4,64.7,3.0
19650,63.81,16.8,1015.7,47.2,2.0
12212,68.06,8.7,1023.9,63.5,3.0
3808,53.19,6.8,1028.7,51.7,1.0
6237,18.03,18.4,1012.3,79.6,3.0
102,31.69,17.8,1018.9,60.7,1.0
3264,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
21237,69.85,11.7,1014.4,48.7,3.0
6772,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
16758,58.11,12.8,1025.3,53.9,3.0
2090,88.83,5.5,1033.6,28.8,4.0
18378,58.5,16.8,1013.6,50.2,2.0
15447,61.22,10.8,1013.8,76.9,1.0
18528,68.08,12.6,1013.7,66.1,3.0
13548,79.58,3.4,1026.2,53.6,2.0
9738,35.21,13.8,1023.8,51.3,1.0
17929,70.53,9.3,1013.3,80.3,3.0
14154,63.81,10.9,1012.9,75.9,3.0
10099,60.67,11.4,1009.1,55.7,1.0
16084,67.63,7.6,1012.1,74.9,3.0
13795,68.07,12.2,1020.9,64.4,3.0
9761,63.78,16.8,1013.3,72.3,3.0
12663,99.92,18.5,1006.2,53.0,2.0
15480,59.0,16.1,1014.6,30.9,1.0
1935,48.03,6.7,1022.4,53.6,1.0
6967,27.45,17.5,1012.6,88.7,1.0
15084,68.81,12.6,1015.1283048687221,46.4,1.0
20303,75.46,11.6,1016.2,60.5,3.0
20858,77.17,11.8,1016.7,71.7,3.0
14729,83.88,12.8,1022.4,52.0,2.0
16579,40.86,12.9,1022.2,49.8,3.0
2861,41.38,15.0,1029.3,56.8,1.0
1307,64.13,17.1,1016.9,43.3,3.0
14056,66.8,15.8,1015.8,53.0,2.0
10421,66.21,16.9,1016.9,66.4,3.0
14402,82.63,27.7,1010.5,49.7,6.0
18690,63.65,17.0,1017.5,34.6,7.0
19668,70.54,10.7,1019.0,41.9,1.0
12861,71.82,17.8,1018.6,58.3,2.0
9400,73.88,13.5,1014.2,59.6,3.0
3996,19.14,7.2,1005.0,95.4,1.0
6343,34.49,16.1,1017.2,75.1,1.0
66,11.12,6.9,1011.0,76.9,1.0
3836,43.19,9.4,1013.7,65.8,1.0
6549,30.72,22.9,1008.6,82.5,1.0
12283,53.46,21.5,1019.0,50.2,3.0
18258,37.67,9.8,1010.6,82.1,1.0
8684,66.45,13.7,1010.1,66.2,2.0
881,64.13,17.1,1016.9,43.3,3.0
10274,74.41,8.7,1014.6,52.7,3.0
17812,59.11,5.4,1018.6,74.4,1.0
503,30.6,17.1,1012.9,75.8,1.0
7649,79.3,14.8,1014.6,76.9,5.0
20232,40.05,13.3,1021.0,70.1,1.0
5514,65.18,11.2,1031.6,65.8,1.0
13838,64.54,25.4,1010.0,65.4,1.0
11253,77.53,7.4,1021.3,79.2,3.0
8291,65.23,28.5,1006.0,31.5,7.0
4739,73.33,26.5,1003.3,29.9,8.0
8157,79.08,9.8,1017.3,81.5,2.0
6742,29.54,18.3,1014.3,76.5,1.0
2694,74.46,8.9,1015.4,72.9,2.0
19882,80.07,20.6,1017.0,77.4,2.0
8537,55.3,14.8,1014.0,66.5,1.0
9551,82.58,20.8,1004.3,44.2,6.0
14863,80.97,6.8,1012.8,79.7,2.0
16786,18.86,29.6,1008.1,70.7,3.0
8391,68.9,13.9,1015.1283048687221,80.5,1.0
14283,72.89,8.2,1016.4,81.3,2.0
4581,26.68,17.2,1011.3,72.8,1.0
11417,54.13,10.0,1020.8,69.4,1.0
3544,64.27,11.5,1021.2,68.0,1.0
17697,17.07,11.3,1008.6,97.9,1.0
7699,64.28,6.9,1027.8,39.8,1.0
2420,69.87,17.3,1002.6,35.0,3.0
19718,70.38,13.9,1017.6,65.4,1.0
5321,51.77,8.0,1029.0,43.3,1.0
9369,87.58,12.2,1015.4,78.4,2.0
7026,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
2298,55.84,18.9,1011.4,40.7,3.0
9862,49.69,6.9,1015.5,78.7,1.0
15886,72.54,10.8,1015.6,81.4,3.0
13291,42.81,20.8,1013.2,50.8,2.0
9912,72.4,7.8,1016.4,72.3,2.0
2656,80.31,12.3,1016.6,35.9,2.0
18596,82.17,10.7,1015.0,81.6,2.0
7239,73.02,19.7,1012.2,45.0,2.0
15790,61.37,29.5,1016.9,59.5,2.0
5555,52.59,18.1,1012.0,71.3,1.0
777,10.69,5.9,1011.4,77.3,1.0
20864,66.25,14.9,1015.3,74.3,3.0
20055,86.27,11.2,1018.3,24.9,7.0
3201,51.49,17.2,1018.2,51.2,5.0
11787,58.02,7.0,1021.0,64.5,3.0
14384,70.12,9.9,1016.4,59.4,2.0
14447,50.08,17.1,1011.5,75.0,1.0
2201,17.84,14.9,1016.0,68.8,1.0
9084,63.12,15.1,1015.0,71.4,3.0
21370,88.81,14.7,1007.5,69.6,2.0
20893,70.3,20.7,1018.6,51.3,2.0
12075,59.4,12.8,1005.0,64.9,1.0
2623,37.28,11.7,1025.5,45.8,1.0
1511,30.85,18.3,1016.8,53.8,1.0
15299,61.99,13.2,1019.4,69.3,3.0
7640,71.28,17.2,1011.9,32.3,3.0
17702,81.18,7.5,1014.7,78.4,3.0
15124,47.19,10.7,1012.9,74.0,1.0
17141,81.96,11.5,1005.1,39.5,3.0
16595,59.83,19.3,1015.1283048687221,29.1,7.0
448,10.96,5.3,1011.3,77.1,1.0
2835,16.71,10.2,1006.2,96.7,1.0
20096,62.3,10.9,1025.4,52.8,3.0
14166,54.14,19.0,1026.2,60.8,1.0
17069,93.58,8.8,1007.0,66.1,5.0
2687,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
8002,81.22,10.8,1014.5,84.3,3.0
2346,82.81,10.2,1020.2,47.0,2.0
19191,90.0,10.0,1019.7,56.1,2.0
14428,83.69,12.9,1012.1,76.0,2.0
12417,72.63,10.1,1017.2,54.6,2.0
14310,50.42,10.8,1012.9,83.7,1.0
11126,79.12,12.0,1015.1283048687221,72.5,2.0
6138,49.4,18.5,1008.3,68.6,5.0
674,86.17,10.1,1009.7,75.8,2.0
9935,71.2,18.2,1013.7,65.1,3.0
